Date,Open,High,Low,Close,Adj Close,Volume
2021-09-21,0.000000,0.000000,0.000000,0.000000,0.000000,956554
2021-09-22,0.000000,0.000000,0.000000,0.000000,0.000000,2363796
2021-09-23,0.000000,0.000000,0.000000,0.000000,0.000000,2151991
2021-09-24,0.000000,0.000000,0.000000,0.000000,0.000000,923835
2021-09-25,0.000000,0.000000,0.000000,0.000000,0.000000,407012
2021-09-26,0.000000,0.000000,0.000000,0.000000,0.000000,174175
2021-09-27,0.000000,0.000000,0.000000,0.000000,0.000000,172850
2021-09-28,0.000000,0.000000,0.000000,0.000000,0.000000,233273
2021-09-29,0.000000,0.000000,0.000000,0.000000,0.000000,538212
2021-09-30,0.000000,0.000000,0.000000,0.000000,0.000000,533806
2021-10-01,0.000000,0.000000,0.000000,0.000000,0.000000,205288
2021-10-02,0.000000,0.000000,0.000000,0.000000,0.000000,196889
2021-10-03,0.000000,0.000000,0.000000,0.000000,0.000000,196784
2021-10-04,0.000000,0.000000,0.000000,0.000000,0.000000,136482
2021-10-05,0.000000,0.000000,0.000000,0.000000,0.000000,91277
2021-10-06,0.000000,0.000000,0.000000,0.000000,0.000000,88260
2021-10-07,0.000000,0.000000,0.000000,0.000000,0.000000,114471
2021-10-08,0.000000,0.000000,0.000000,0.000000,0.000000,107151
2021-10-09,0.000000,0.000000,0.000000,0.000000,0.000000,96874
2021-10-10,0.000000,0.000000,0.000000,0.000000,0.000000,129643
2021-10-11,0.000000,0.000000,0.000000,0.000000,0.000000,162494
2021-10-12,0.000000,0.000000,0.000000,0.000000,0.000000,188839
2021-10-13,0.000000,0.000000,0.000000,0.000000,0.000000,312909
2021-10-14,0.000000,0.000000,0.000000,0.000000,0.000000,340114
2021-10-15,0.000000,0.000000,0.000000,0.000000,0.000000,250250
2021-10-16,0.000000,0.000000,0.000000,0.000000,0.000000,158275
2021-10-17,0.000000,0.000000,0.000000,0.000000,0.000000,97683
2021-10-18,0.000000,0.000000,0.000000,0.000000,0.000000,125699
2021-10-19,0.000000,0.000000,0.000000,0.000000,0.000000,115234
